e = 1.6000, h = 0.3000, 16202 significant voxels
e = 1.6000, h = 0.2000, 16596 significant voxels
e = 1.6000, h = 0.4000, 15850 significant voxels
e = 1.9000, h = 1.7000, 15250 significant voxels
e = 1.6000, h = 0.9000, 14484 significant voxels
e = 1.6000, h = 0.8000, 14721 significant voxels
e = 1.6000, h = 1.3000, 13245 significant voxels
e = 1.6000, h = 0.6000, 15221 significant voxels
e = 1.6000, h = 0.5000, 15578 significant voxels
e = 1.6000, h = 1.0000, 14302 significant voxels
e = 1.6000, h = 0.7000, 14970 significant voxels
e = 1.6000, h = 1.2000, 13471 significant voxels
e = 1.6000, h = 1.7000, 9577 significant voxels
e = 1.6000, h = 1.1000, 13729 significant voxels
e = 1.6000, h = 1.5000, 11874 significant voxels
e = 1.7000, h = 0.0000, 18793 significant voxels
e = 1.7000, h = 0.2000, 17897 significant voxels
e = 1.6000, h = 1.4000, 12778 significant voxels
e = 1.7000, h = 0.3000, 17555 significant voxels
e = 1.6000, h = 1.9000, 9079 significant voxels
e = 1.6000, h = 1.6000, 9809 significant voxels
e = 1.7000, h = 1.0000, 15139 significant voxels
e = 1.6000, h = 1.8000, 9399 significant voxels
e = 1.7000, h = 0.1000, 18371 significant voxels
e = 1.7000, h = 0.7000, 15965 significant voxels
e = 1.7000, h = 0.5000, 16616 significant voxels
e = 1.7000, h = 1.4000, 14311 significant voxels
e = 1.7000, h = 1.2000, 14696 significant voxels
e = 1.7000, h = 1.1000, 14900 significant voxels
e = 1.7000, h = 0.9000, 15341 significant voxels
e = 1.7000, h = 1.6000, 13519 significant voxels
e = 1.7000, h = 1.5000, 13756 significant voxels
e = 1.7000, h = 0.4000, 17181 significant voxels
e = 1.7000, h = 0.8000, 15681 significant voxels
e = 1.7000, h = 0.6000, 16259 significant voxels
e = 1.9000, h = 1.6000, 15531 significant voxels
e = 1.7000, h = 1.7000, 13340 significant voxels
e = 1.7000, h = 1.3000, 14474 significant voxels
e = 1.8000, h = 0.0000, 19936 significant voxels
e = 1.8000, h = 0.2000, 18971 significant voxels
e = 1.8000, h = 0.3000, 18646 significant voxels
e = 1.8000, h = 0.7000, 17226 significant voxels
e = 1.7000, h = 1.8000, 13115 significant voxels
e = 1.8000, h = 0.5000, 17836 significant voxels
e = 1.7000, h = 1.9000, 12349 significant voxels
e = 1.8000, h = 0.9000, 16338 significant voxels
e = 1.8000, h = 1.9000, 13839 significant voxels
e = 1.8000, h = 0.1000, 19480 significant voxels
e = 1.8000, h = 1.0000, 16094 significant voxels
e = 1.8000, h = 1.5000, 14866 significant voxels
e = 1.8000, h = 1.6000, 14693 significant voxels
e = 1.8000, h = 0.4000, 18209 significant voxels
e = 1.8000, h = 1.4000, 15098 significant voxels
e = 1.8000, h = 1.8000, 14331 significant voxels
e = 1.8000, h = 0.6000, 17549 significant voxels
e = 1.8000, h = 1.7000, 14486 significant voxels
e = 1.9000, h = 0.1000, 20545 significant voxels
e = 1.9000, h = 0.0000, 21792 significant voxels
e = 1.9000, h = 0.3000, 19708 significant voxels
e = 1.9000, h = 0.2000, 20091 significant voxels
e = 1.8000, h = 0.8000, 16676 significant voxels
e = 1.8000, h = 1.2000, 15589 significant voxels
e = 1.8000, h = 1.3000, 15292 significant voxels
e = 1.8000, h = 1.1000, 15812 significant voxels
e = 1.9000, h = 0.4000, 19167 significant voxels
e = 1.9000, h = 0.8000, 17835 significant voxels
e = 1.9000, h = 0.5000, 18868 significant voxels
e = 1.9000, h = 1.0000, 17304 significant voxels
e = 1.9000, h = 1.5000, 15737 significant voxels
e = 1.9000, h = 1.3000, 16210 significant voxels
e = 1.9000, h = 1.1000, 16891 significant voxels
e = 1.9000, h = 1.2000, 16523 significant voxels
e = 1.9000, h = 1.4000, 15967 significant voxels
e = 1.9000, h = 0.9000, 17571 significant voxels
e = 1.9000, h = 0.7000, 18180 significant voxels
e = 1.9000, h = 0.6000, 18588 significant voxels
